,,,,,,,,,,,,,,,,,,,,,
Treatment,Beetle_Week2,Beetle_Week3,Plant ID,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,,,Week,Control_NB,MP_NB,Control_B,MP_B
Control,N,N,C-Sb-1,1,1,1,1,1,1,1,1,1,1,1,,,Week 1,9,11,na,na
Control,N,N,C-Sb-2,1,1,1,1,1,1,1,1,1,1,1,,,Week 2,8,11,1,na
Control,N,N,C-Sb-3,0,0,0,1,1,1,1,1,1,1,1,,,Week 3,8,8,1,3
Control,N,N,C-Sb-4,0,0,0,0,0,1,1,1,1,1,1,,,Week 4,10,9,6,6
Control,N,N,C-Sb-5,1,1,1,1,1,1,1,1,1,1,1,,,Week 5,11,13,8,8
Control,N,N,C-Sb-6,1,1,1,1,1,1,1,1,1,1,1,,,Week 6,16,17,8,8
Control,N,N,C-Sb-7,0,0,0,0,0,0,0,0,0,0,0,,,Week 7,16,18,8,8
Control,N,N,C-Sb-8,1,1,1,0,0,0,0,0,0,0,0,,,Week 8,16,19,8,8
Control,N,N,C-MBB-1,1,1,1,1,1,1,1,1,1,1,1,,,Week 9,16,19,8,8
Control,Y,N,C-MBB-2,0,0,0,1,1,1,1,1,1,1,1,,,Week 10,16,19,8,8
Control,N,N,C-MBB-3,0,0,0,0,0,1,1,1,1,1,1,,,Week 11,16,19,8,8
Control,Y,N,C-MBB-4,0,0,0,1,1,1,1,1,1,1,1,,,,,,,
Control,Y,N,C-MBB-5,1,1,1,1,1,1,1,1,1,1,1,,,,needs edit,,,
Control,N,N,C-MBB-6,1,1,1,1,1,1,1,1,1,1,1,,Treatment,Week,Treatment_sum,,,
Control,N,N,C-MBB-7,0,0,0,1,1,1,1,1,1,1,1,,Control_NB,Week 1,9,,,
Control,N,Y,C-MBB-8,0,0,0,1,1,1,1,1,1,1,1,,MP_NB,Week 1,15,,,
Control,N,N,C-Pf-1,0,0,0,1,1,1,1,1,1,1,1,,Control_B,Week 1,na,,,
Control,N,N,C-Pf-2,0,0,0,0,0,1,1,1,1,1,1,,MP_B,Week 1,na,,,
Control,N,N,C-Pf-3,0,0,0,0,0,0,0,0,0,0,0,,Control_NB,Week 2,8,,,
Control,Y,N,C-Pf-4,0,0,0,0,1,1,1,1,1,1,1,,MP_NB,Week 2,15,,,
Control,N,N,C-Pf-5,0,0,0,0,0,1,1,1,1,1,1,,Control_B,Week 2,1,,,
Control,Y,N,C-Pf-6,0,0,0,1,1,1,1,1,1,1,1,,MP_B,Week 2,na,,,
Control,Y,N,C-Pf-7,0,0,0,1,1,1,1,1,1,1,1,,Control_NB,Week 3,8,,,
Control,N,Y,C-Pf-8,0,0,0,0,1,1,1,1,1,1,1,,MP_NB,Week 3,8,,,
Control,N,N,C-Ex-1,0,0,0,0,0,1,1,1,1,1,1,,Control_B,Week 3,1,,,
Control,N,N,C-Ex-2,1,1,1,1,1,1,1,1,1,1,1,,MP_B,Week 3,5,,,
Control,N,N,C-Ex-3,0,0,0,0,0,0,0,0,0,0,0,,Control_NB,Week 4,10,,,
Control,N,N,C-Ex-4,0,0,0,0,1,1,1,1,1,1,1,,MP_NB,Week 4,9,,,
Control,N,N,C-Ex-5,0,0,0,0,0,0,0,0,0,0,0,,Control_B,Week 4,6,,,
MP,N,N,MP-Sb-1,1,1,1,1,1,1,1,1,1,1,1,,MP_B,Week 4,6,,,
MP,N,N,MP-Sb-2,0,0,0,0,0,0,0,0,0,0,0,,Control_NB,Week 5,11,,,
MP,N,N,MP-Sb-3,0,0,0,0,0,1,1,1,1,1,1,,MP_NB,Week 5,13,,,
MP,N,N,MP-Sb-4,0,0,0,0,0,0,1,1,1,1,1,,Control_B,Week 5,8,,,
MP,N,N,MP-Sb-5,0,0,0,0,1,1,1,1,1,1,1,,MP_B,Week 5,8,,,
MP,N,N,MP-Sb-6,0,0,0,1,1,1,1,1,1,1,1,,Control_NB,Week 6,16,,,
MP,N,N,MP-Sb-7,0,0,0,0,1,1,1,1,1,1,1,,MP_NB,Week 6,17,,,
MP,N,N,MP-Sb-8,0,0,0,0,0,0,0,1,1,1,1,,Control_B,Week 6,8,,,
MP,N,N,MP-MBB-1,0,0,0,0,1,1,1,1,1,1,1,,MP_B,Week 6,8,,,
MP,N,Y,MP-MBB-2,0,0,0,0,1,1,1,1,1,1,1,,Control_NB,Week 7,16,,,
MP,N,N,MP-MBB-3,1,1,1,1,1,1,1,1,1,1,1,,MP_NB,Week 7,18,,,
MP,N,Y,MP-MBB-4,1,1,1,1,1,1,1,1,1,1,1,,Control_B,Week 7,8,,,
MP,N,Y,MP-MBB-5,0,0,0,0,1,1,1,1,1,1,1,,MP_B,Week 7,8,,,
MP,N,N,MP-MBB-6,0,0,0,0,1,1,1,1,1,1,1,,Control_NB,Week 8,16,,,
MP,N,N,MP-MBB-7,1,1,1,1,1,1,1,1,1,1,1,,MP_NB,Week 8,19,,,
MP,N,Y,MP-MBB-8,1,1,1,1,1,1,1,1,1,1,1,,Control_B,Week 8,8,,,
MP,N,Y,MP-Pf-1,1,1,1,1,1,1,1,1,1,1,1,,MP_B,Week 8,8,,,
MP,N,N,MP-Pf-2,0,0,0,0,0,1,1,1,1,1,1,,Control_NB,Week 9,16,,,
MP,N,N,MP-Pf-3,0,0,0,1,1,1,1,1,1,1,1,,MP_NB,Week 9,19,,,
MP,N,N,MP-Pf-4,0,0,0,0,0,1,1,1,1,1,1,,Control_B,Week 9,8,,,
MP,N,Y,MP-Pf-5,0,0,0,1,1,1,1,1,1,1,1,,MP_B,Week 9,8,,,
MP,N,Y,MP-Pf-6,1,1,1,1,1,1,1,1,1,1,1,,Control_NB,Week 10,16,,,
MP,N,N,MP-Pf-7,1,1,1,1,1,1,1,1,1,1,1,,MP_NB,Week 10,19,,,
MP,N,Y,MP-Pf-8,1,1,1,1,1,1,1,1,1,1,1,,Control_B,Week 10,8,,,
MP,N,N,MP-Ex-1,0,0,0,0,0,1,1,1,1,1,1,,MP_B,Week 10,8,,,
MP,N,N,MP-Ex-2,1,1,1,1,1,1,1,1,1,1,1,,Control_NB,Week 11,16,,,
MP,N,N,MP-Ex-3,0,0,0,1,1,1,1,1,1,1,1,,MP_NB,Week 11,19,,,
MP,N,N,MP-Ex-4,0,0,0,0,0,0,0,0,0,0,0,,Control_B,Week 11,8,,,
MP,N,N,MP-Ex-5,1,1,1,1,1,1,1,1,1,1,1,,MP_B,Week 11,8,,,
