Treatment,Plant ID,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9
C,C-MBB-2,13,11,18,18.5,12.5,8.5,8.5,8,8
C,C-MBB-4,10,16,22.5,24,19,10.5,7.5,7,7
C,C-MBB-5,19,24,26.5,24,15,9.5,9.5,9.5,9.5
C,C-MBB-8,7,16.5,23.5,14,14,12.5,11.5,11.5,
C,C-Pf-4,15,17.5,17.5,19.5,13.5,10.5,9.5,8,8
C,C-Pf-6,14,17,20,20,12,9,9,9,9
C,C-Pf-7,11,26,27.5,23.5,15.5,13,12,11.5,11.5
C,C-Pf-8,12,21.5,22.5,11,10.5,8.5,7.5,7.5,
MP,MP-MBB-2,9,19,24.5,16,13,11,9,9,
MP,MP-MBB-4,12,21.5,20.5,16.5,10.5,9,9,9,
MP,MP-MBB-5,12,21.5,20.5,15.5,10.5,10.5,10,9,
MP,MP-MBB-6,14,22.5,28.5,16.5,12.5,10.5,9,8.5,
MP,MP-Pf-1,12,26,33.5,16,10.5,9,8,8,
MP,MP-Pf-5,11.5,19.5,25.5,16.5,11.5,11.5,11,9,
MP,MP-Pf-6,11,19.5,28,26,12,11.5,9,8.5,
MP,MP-Pf-8,7,19,28,23,13.5,10.5,10,9,
