Treatment,DTG,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,3,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,4,
Control,5,
Control,5,
Control,5,
Control,5,
Control,5,
Control,6,
Microplastic,2,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,3,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,4,
Microplastic,5,
Microplastic,5,
Microplastic,6,
