Treatment,Beetle,Plant_ID,Total_AGB,Pod_num,Seed_num,Seed_weight,Total_BGB
"Control,",No Beetle,C-Sb-1,19.13,35,61,3.13,1.1
"Control,",No Beetle,C-Sb-2,16.14,31,60,4.81,3.87
"Control,",No Beetle,C-Sb-3,17.06,25,51,5.98,2.84
"Control,",No Beetle,C-Sb-4,21.25,35,58,6.05,3.77
"Control,",No Beetle,C-Sb-5,15.62,30,51,6.2,4.09
"Control,",No Beetle,C-Sb-6,12.96,22,42,4.47,3.8
"Control,",No Beetle,C-Sb-7,20.39,31,55,6.65,3.22
"Control,",No Beetle,C-Sb-8,16.86,21,37,4.25,3.28
"Control,",Beetle,C-MBB-1,14.27,26,50,3.17,4.03
"Control,",Beetle,C-MBB-2,20.26,32,62,5.32,3.61
"Control,",Beetle,C-MBB-3,17.66,32,61,4.04,5.24
"Control,",Beetle,C-MBB-4,13.21,29,38,3.75,3.72
"Control,",Beetle,C-MBB-5,19.31,35,58,6.38,3.7
"Control,",Beetle,C-MBB-6,14.6,31,49,2.84,4.85
"Control,",Beetle,C-MBB-7,16.01,29,51,4.16,4.27
"Control,",Beetle,C-MBB-8,13.86,22,42,3.98,2.91
"Control,",No Beetle,C-Ex-1,21.03,33,62,6.05,4.94
"Control,",No Beetle,C-Ex-2,21.13,24,57,6.5,4.83
"Control,",No Beetle,C-Ex-3,18.87,26,55,5.76,4.98
"Control,",No Beetle,C-Ex-4,6.64,12,14,1.59,3.86
"Control,",No Beetle,C-Ex-5,17.72,36,70,5.57,4.03
"Microplastic,",No Beetle,MP-Sb-1,22.36,33,59,4.58,8.24
"Microplastic,",No Beetle,MP-Sb-2,23.71,39,74,7.35,6.15
"Microplastic,",No Beetle,MP-Sb-3,26.15,39,58,7.97,4.31
"Microplastic,",No Beetle,MP-Sb-4,23.9,35,71,7.55,8.11
"Microplastic,",No Beetle,MP-Sb-5,33.45,52,94,11.77,4.65
"Microplastic,",No Beetle,MP-Sb-6,29.25,49,91,7.67,7.28
"Microplastic,",No Beetle,MP-Sb-7,45.98,51,95,6.88,9.48
"Microplastic,",No Beetle,MP-Sb-8,24.51,32,71,8.7,4.1
"Microplastic,",Beetle,MP-MBB-1,22.54,35,65,5.03,6.96
"Microplastic,",Beetle,MP-MBB-2,34.55,60,118,10.72,4.5
"Microplastic,",Beetle,MP-MBB-3,26.59,46,81,6.61,4.59
"Microplastic,",Beetle,MP-MBB-4,25.19,50,70,7.05,4.37
"Microplastic,",Beetle,MP-MBB-5,25.35,41,73,6.79,6.4
"Microplastic,",Beetle,MP-MBB-6,26.7,44,74,5.52,5.3
"Microplastic,",Beetle,MP-MBB-7,26.14,43,80,5.7,5.76
"Microplastic,",Beetle,MP-MBB-8,21.15,38,77,7.57,4.77
"Microplastic,",No Beetle,MP-Ex-1,27.22,39,70,9.7,4.88
"Microplastic,",No Beetle,MP-Ex-2,29.37,44,80,8.61,7.19
"Microplastic,",No Beetle,MP-Ex-3,33.45,49,101,10.73,5.55
"Microplastic,",No Beetle,MP-Ex-4,34.42,49,87,12.09,10.07
"Microplastic,",No Beetle,MP-Ex-5,29.57,42,77,8.19,7.03
