Treatment,Beetle,Plant_ID,R_1,R_2,R_3,R_4,R_5,R_6
Control,No Beetle,C-Sb-1,10.28571429,10.85714286,18.85714286,20.71428571,21.42857143,26.28571429
Control,No Beetle,C-Sb-2,11.14285714,11.42857143,16,16.57142857,17.14285714,18.28571429
Control,No Beetle,C-Sb-3,10.85714286,11.14285714,13.14285714,13.42857143,13.71428571,16.28571429
Control,No Beetle,C-Sb-4,10.28571429,10.57142857,12.28571429,12.85714286,13.14285714,16.28571429
Control,No Beetle,C-Sb-5,10.57142857,11.14285714,13.42857143,14,14.57142857,16.28571429
Control,No Beetle,C-Sb-6,10.57142857,10.85714286,12.57142857,13.14285714,13.42857143,16.57142857
Control,No Beetle,C-Sb-7,10.85714286,11.42857143,13.42857143,13.71428571,14,17.14285714
Control,No Beetle,C-Sb-8,12,12.28571429,14.85714286,16,16.57142857,17.14285714
Control,Beetle,C-MBB-1,10.85714286,11.14285714,12.57142857,13.14285714,13.42857143,16.28571429
Control,Beetle,C-MBB-2,11.14285714,11.42857143,12.85714286,13.14285714,13.42857143,16.57142857
Control,Beetle,C-MBB-3,10.28571429,10.57142857,12.85714286,13.42857143,14,16.28571429
Control,Beetle,C-MBB-4,10.28571429,11.14285714,12,12.57142857,15.14285714,17.14285714
Control,Beetle,C-MBB-5,10.85714286,11.14285714,13.14285714,13.42857143,14.28571429,17.14285714
Control,Beetle,C-MBB-6,11.71428571,12,13.42857143,14,14.28571429,16.28571429
Control,Beetle,C-MBB-7,10.57142857,10.85714286,12.57142857,12.85714286,13.14285714,16.28571429
Control,Beetle,C-MBB-8,10.57142857,11.42857143,14.28571429,14.57142857,16.28571429,17.14285714
Control,No Beetle,C-Ex-1,10.85714286,11.14285714,12.57142857,13.14285714,13.71428571,16.28571429
Control,No Beetle,C-Ex-2,10.57142857,10.85714286,12.85714286,13.42857143,13.71428571,16.28571429
Control,No Beetle,C-Ex-3,11.42857143,12,14.28571429,15.14285714,16,17.42857143
Control,No Beetle,C-Ex-4,11.71428571,12,13.42857143,14,14.57142857,18.57142857
Control,No Beetle,C-Ex-5,10.85714286,11.14285714,12.57142857,13.14285714,15.42857143,17.14285714
Microplastic,No Beetle,MP-Sb-1,10.57142857,10.85714286,14.28571429,14.57142857,15.42857143,17.14285714
Microplastic,No Beetle,MP-Sb-2,10.28571429,10.57142857,12.57142857,13.14285714,13.42857143,16.28571429
Microplastic,No Beetle,MP-Sb-3,10.57142857,11.42857143,13.42857143,14.28571429,14.85714286,17.42857143
Microplastic,No Beetle,MP-Sb-4,10.57142857,10.85714286,13.14285714,13.71428571,14.57142857,16.57142857
Microplastic,No Beetle,MP-Sb-5,10.57142857,10.85714286,13.42857143,14,14.57142857,17.14285714
Microplastic,No Beetle,MP-Sb-6,10.85714286,11.42857143,12.85714286,13.42857143,14,16.28571429
Microplastic,No Beetle,MP-Sb-7,10.85714286,11.42857143,13.71428571,14,14.85714286,16.28571429
Microplastic,No Beetle,MP-Sb-8,10.57142857,10.85714286,12,12.85714286,13.71428571,16.28571429
Microplastic,Beetle,MP-MBB-1,10.28571429,10.57142857,12,12.57142857,13.14285714,16
Microplastic,Beetle,MP-MBB-2,10.28571429,10.57142857,13.14285714,13.71428571,16,18
Microplastic,Beetle,MP-MBB-3,11.42857143,12,14.85714286,15.42857143,16.28571429,18
Microplastic,Beetle,MP-MBB-4,10.57142857,10.85714286,14.85714286,15.14285714,16.28571429,18
Microplastic,Beetle,MP-MBB-5,10.28571429,10.85714286,12,12.57142857,13.14285714,16
Microplastic,Beetle,MP-MBB-6,10.28571429,10.57142857,11.71428571,12.85714286,14.28571429,18.28571429
Microplastic,Beetle,MP-MBB-7,11.14285714,11.42857143,13.14285714,13.42857143,13.71428571,16.28571429
Microplastic,Beetle,MP-MBB-8,10.28571429,10.57142857,12.57142857,13.14285714,13.42857143,16.28571429
Microplastic,No Beetle,MP-Ex-1,10.28571429,10.57142857,12,12.57142857,13.14285714,16.28571429
Microplastic,No Beetle,MP-Ex-2,10.85714286,11.14285714,13.71428571,14,14.57142857,17.14285714
Microplastic,No Beetle,MP-Ex-3,10.28571429,10.57142857,12,12.57142857,13.14285714,16.28571429
Microplastic,No Beetle,MP-Ex-4,10.28571429,10.57142857,12.85714286,14,14.57142857,16.28571429
Microplastic,No Beetle,MP-Ex-5,10.28571429,10.57142857,12.57142857,13.42857143,13.71428571,16.28571429
