Treatment,Beetle,Plant_ID,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14,R_1,R_2
Control,No beetle,C-Sb-1,0.428571429,1.428571429,2.571428571,3.428571429,4.571428571,5.142857143,6,6.857142857,7.714285714,8.571428571,8.857142857,10,11.14285714,,10.28571429,10.85714286
Control,No beetle,C-Sb-2,0.428571429,1.428571429,2.285714286,2.857142857,4,5.428571429,6.857142857,7.714285714,8.571428571,8.857142857,10.28571429,10.85714286,12.28571429,12.85714286,11.14285714,11.42857143
Control,No beetle,C-Sb-3,0.428571429,1.428571429,2.571428571,4,5.142857143,6,6.857142857,7.714285714,8.285714286,8.857142857,9.714285714,10.85714286,11.42857143,,10.85714286,11.14285714
Control,No beetle,C-Sb-4,0.428571429,1.428571429,2.571428571,3.428571429,4.571428571,5.428571429,6,7.142857143,7.714285714,8,8.857142857,9.142857143,10.85714286,12.28571429,10.28571429,10.57142857
Control,No beetle,C-Sb-5,0.571428571,1.428571429,2.285714286,3.428571429,4.571428571,6,6.857142857,7.714285714,8.285714286,8.857142857,9.714285714,11.14285714,13.42857143,,10.57142857,11.14285714
Control,No beetle,C-Sb-6,0.428571429,1.428571429,2.571428571,3.428571429,4.571428571,5.142857143,6.857142857,7.142857143,8.285714286,8.857142857,9.714285714,10.85714286,11.42857143,11.71428571,10.57142857,10.85714286
Control,No beetle,C-Sb-7,0.428571429,1.428571429,2.285714286,2.857142857,4,4.571428571,6,7.142857143,8,8.857142857,9.714285714,10.57142857,10.85714286,12.57142857,10.85714286,11.42857143
Control,No beetle,C-Sb-8,0.571428571,1.428571429,2.571428571,3.428571429,4.571428571,6,7.714285714,8.571428571,9.428571429,10,10.85714286,12,12.57142857,12.85714286,12,12.28571429
Control,Beetle,C-MBB-1,0.428571429,1.428571429,2.285714286,3.428571429,4.571428571,6.571428571,7.142857143,8,8.571428571,9.142857143,9.714285714,10,12,12.57142857,10.85714286,11.14285714
Control,Beetle,C-MBB-2,0.571428571,1.428571429,2.571428571,2.857142857,4,6,6.857142857,7.142857143,8,8.857142857,9.428571429,10,10.85714286,12,11.14285714,11.42857143
Control,Beetle,C-MBB-3,0.428571429,1.428571429,2.285714286,3.428571429,4.571428571,5.142857143,6.571428571,7.142857143,8,8.857142857,9.142857143,9.714285714,10.85714286,12.28571429,10.28571429,10.57142857
Control,Beetle,C-MBB-4,0.571428571,1.428571429,2.285714286,3.428571429,4.571428571,5.428571429,6,6.857142857,7.714285714,8.571428571,8.857142857,9.714285714,10.85714286,12,10.28571429,11.14285714
Control,Beetle,C-MBB-5,0.428571429,1.428571429,2.571428571,3.714285714,4.857142857,6,6.857142857,7.142857143,8,8.857142857,9.142857143,10,11.42857143,12.57142857,10.85714286,11.14285714
Control,Beetle,C-MBB-6,0.571428571,1.428571429,2.571428571,3.428571429,4.571428571,6,6.857142857,7.428571429,8,8.857142857,9.714285714,10,11.71428571,12.85714286,11.71428571,12
Control,Beetle,C-MBB-7,0.428571429,1.428571429,2.571428571,3.428571429,4.571428571,6,6.857142857,7.142857143,8,8.571428571,8.857142857,9.714285714,10.85714286,12,10.57142857,10.85714286
Control,Beetle,C-MBB-8,0.571428571,1.428571429,2.571428571,4.571428571,6,7.142857143,8,8.857142857,9.714285714,10.28571429,10.85714286,12,,,10.57142857,11.42857143
Control,No beetle,C-Ex-1,0.571428571,1.428571429,2.285714286,2.857142857,4,4.857142857,6,6.857142857,7.714285714,8.285714286,9.142857143,10,10.85714286,12,10.85714286,11.14285714
Control,No beetle,C-Ex-2,0.571428571,1.428571429,2.571428571,3.428571429,4.571428571,5.428571429,6.571428571,7.142857143,8,9.142857143,9.714285714,10,11.42857143,12,10.57142857,10.85714286
Control,No beetle,C-Ex-3,0.428571429,1.428571429,2.571428571,3.428571429,4.571428571,6.857142857,7.714285714,8.571428571,9.428571429,10,10.85714286,12.28571429,13.14285714,,11.42857143,12
Control,No beetle,C-Ex-4,0.428571429,1.428571429,2.571428571,4,5.142857143,6,6.857142857,7.142857143,8,8.857142857,9.142857143,10,12.28571429,12.57142857,11.71428571,12
