Treatment,Week,AVG
C_NB,1,0.380952381
C_NB,2,0.380952381
C_NB,3,0.380952381
C_NB,4,0.476190476
C_NB,5,0.523809524
C_NB,6,0.761904762
C_NB,7,0.761904762
C_NB,8,0.761904762
C_NB,9,0.761904762
C_NB,10,0.761904762
C_NB,11,0.761904762
C_B,1,0.125
C_B,2,0.125
C_B,3,0.125
C_B,4,0.75
C_B,5,1
C_B,6,1
C_B,7,1
C_B,8,1
C_B,9,1
C_B,10,1
C_B,11,1
MP_NB,1,0.523809524
MP_NB,2,0.523809524
MP_NB,3,0.428571429
MP_NB,4,0.476190476
MP_NB,5,0.619047619
MP_NB,6,0.80952381
MP_NB,7,0.857142857
MP_NB,8,0.904761905
MP_NB,9,0.904761905
MP_NB,10,0.904761905
MP_NB,11,0.904761905
MP_B,1,0.5
MP_B,2,0.5
MP_B,3,0.5
MP_B,4,0.625
MP_B,5,1
MP_B,6,1
MP_B,7,1
MP_B,8,1
MP_B,9,1
MP_B,10,1
MP_B,11,1
